
황사일수
지점/지역명 : 서울

평균 황사일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.4,0.4,2.2,3.1,1.5,0.0,0.0,0.0,0.0,0.1,0.6,0.6,8.9
최근 10년,0.5,0.6,2.2,1.4,1.7,0.0,0.0,0.0,0.0,0.2,1.0,0.2,7.8
최근  5년,0.4,0.2,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.4,1.2,0.2,6.6
1993,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
1995,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8
1996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29
1997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1998,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7
1999,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21
2000,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15
2001,1.0,0.0,11.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,1
2002,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,2
2003,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26
2004,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20
2005,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,10
2006,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12
2007,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,9
2008,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,11
2009,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,17
2010,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,15.0,4
2011,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27
2013,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25
2014,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,14
2015,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3
2016,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18
2017,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,13
2018,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,23
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,24
2020,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,19
2021,2.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5
2022,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,22


평균 계절별 황사일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,6.9,0.0,0.8,1.4
최근 10년,5.3,0.0,1.2,1.6
최근  5년,4.2,0.0,1.6,1.4
1993,14,0,0,0
1994,0,0,0,0
1995,13,0,0,0
1996,1,0,0,0
1997,1,0,0,0
1998,13,0,0,5
1999,1,0,0,0
2000,10,0,0,1
2001,24,0,0,4
2002,12,0,2,0
2003,3,0,0,1
2004,5,0,0,0
2005,10,0,2,0
2006,11,0,0,1
2007,10,0,0,2
2008,7,0,0,4
2009,3,0,2,4
2010,7,0,3,4
2011,9,0,0,0
2012,0,0,1,0
2013,3,0,0,2
2014,6,0,1,6
2015,10,0,0,0
2016,7,0,0,1
2017,6,0,3,0
2018,3,0,2,0
2019,0,0,3,1
2020,2,0,3,2
2021,12,0,0,0
2022,4,0,0,1

